Game,Total Day,Spawn Rate,Player 1,Player 2,Player 3,Player 4,Player 1 Final Score,Player 2 Final Score,Player 3 Final Score,Player 4 Final Score,Player 1 Day of Timeout,Player 2 Day of Timeout,Player 3 Day of Timeout,Player 4 Day of Timeout
99,100,20,1,7,6,8,229415,257021,272273,239344,,,,
100,100,20,5,3,4,2,249701,272095,260704,215793,,,,
101,500,1,4,5,2,1,1933108,542825,1824944,669289,,,,
102,500,1,7,8,6,3,1961512,525684,2142130,344094,,176,,
103,500,1,4,7,2,1,1745056,746585,1773584,701356,,,,
104,500,1,3,5,8,6,872625,1464506,1455079,1180218,,,166,497
105,500,1,1,4,3,7,778654,1586209,1105317,1493317,,,,
106,500,1,2,6,5,8,1820421,811055,1362537,982369,,489,,168
107,500,1,1,3,6,7,696212,1926350,1486586,855449,,,,
108,500,1,8,5,4,2,794686,1230768,965526,1980971,162,,,
109,500,1,7,3,2,1,861667,1365909,1851868,885294,,,,
110,500,1,8,6,5,4,426394,1508445,561644,2479031,164,,,
111,500,2,7,5,2,1,1733145,618907,1767280,850892,,,,
112,500,2,3,4,6,8,1684923,1808937,1087627,390151,,,,337
113,500,2,1,2,6,5,1760640,1285662,1292644,634197,,,,
114,500,2,3,4,8,7,1060039,2408101,569531,933164,,,272,
115,500,2,1,3,5,4,841680,1260932,1037090,1828227,,,,
116,500,2,7,8,6,2,1530174,823385,1719155,902310,,236,,
117,500,2,8,7,2,1,523380,979747,1636962,1828497,222,,,
118,500,2,6,5,4,3,1303963,455462,2694763,518853,,,,
119,500,2,6,5,3,1,1546925,577313,1945807,905334,,,,
120,500,2,2,4,7,8,1640696,986385,1908163,435807,,,,240
121,500,5,1,3,8,4,1020811,1847890,498680,1608053,,,436,
122,500,5,2,5,7,6,1822079,923724,1480320,749865,,,,
123,500,5,1,2,7,6,1630334,1299277,1197484,847096,,,,
124,500,5,5,8,4,3,1503569,647309,1532458,1293874,,450,,
125,500,5,7,5,3,1,940708,1224220,1556419,1252946,,,,
126,500,5,8,6,4,2,825470,1369766,966111,1816876,,,,
127,500,5,7,3,6,1,1035767,1661149,849944,1426252,,,,
128,500,5,2,5,4,8,1580735,831988,1992011,575357,,,,382
129,500,5,1,2,4,7,1600656,1244746,1102710,1027021,,,,
130,500,5,3,5,6,8,1865619,1476394,1268357,367828,,,,496
131,500,10,1,2,8,3,1310610,1664758,517049,1492237,,,,
132,500,10,6,7,5,4,944001,1356071,1073317,1604075,,,,
133,500,10,6,7,5,1,1034686,1281679,1470867,1194173,,,,
134,500,10,4,8,3,2,1910434,659356,1954454,456716,,,,
135,500,10,3,4,2,1,971889,1907999,1256383,844161,,,,
136,500,10,5,6,8,7,1953286,1074813,691272,1264143,,,,
137,500,10,1,2,7,3,1615825,1496106,816347,1052255,,,,
138,500,10,4,5,8,6,1265759,1622010,464696,1626313,,,,
139,500,10,1,2,3,5,1608158,1196275,1559337,617765,,,,
140,500,10,8,7,6,4,790099,1354934,1325855,1509114,386,,,
141,500,20,8,6,2,1,859607,1628516,895829,1600547,496,,,
142,500,20,7,5,4,3,1420166,1449861,1560432,550494,,,,
143,500,20,8,4,6,1,849339,2059473,921571,1152519,486,,,
144,500,20,2,5,3,7,1233545,1383423,1940253,431335,,,,
145,500,20,1,3,2,5,1346406,1238213,654280,1747589,,,,
146,500,20,4,7,6,8,1303785,1095919,1760253,824022,,,,
147,500,20,1,3,2,7,1567399,1613213,538613,1268120,,,,
148,500,20,8,5,6,4,975601,1224224,1241931,1539939,486,,,
149,500,20,6,7,4,1,1092130,1294472,1106794,1491268,,,,
150,500,20,5,8,3,2,1465841,1110960,1940981,470245,,,,
151,1000,1,8,3,2,1,375422,3660025,3935563,1972276,290,,,
152,1000,1,4,5,6,7,3665702,1311853,3529774,1425995,,,813,
153,1000,1,1,7,2,8,1795761,2371166,4251359,1523870,,,,264
154,1000,1,3,5,4,6,2645468,1764362,4517573,1000977,,,871,771
155,1000,1,1,7,3,8,1740596,1188511,6203968,808601,,,,264
156,1000,1,6,4,5,2,1393611,3224012,1412457,3912456,792,,,
157,1000,1,7,6,4,1,4191860,1119988,3900876,717369,,721,884,
158,1000,1,8,5,3,2,1104969,1092834,2626101,5123929,262,,,
159,1000,1,7,4,3,1,2420231,2493701,3698474,1307834,,,,
160,1000,1,2,5,6,8,4047538,2107448,3413046,384234,,840,696,432
161,1000,2,1,3,2,8,1986435,2502971,4446216,1009186,,,,338
162,1000,2,4,6,5,7,3793377,2177384,1805148,2160318,,,,
163,1000,2,1,4,2,5,3091911,2391880,2724906,1720167,,,,
164,1000,2,8,6,7,3,1587999,5157875,2347490,871685,316,,,
165,1000,2,7,8,2,1,3644273,550985,3977792,1764890,,363,,
166,1000,2,5,6,4,3,3660029,1594964,2986425,1703323,,,,
167,1000,2,5,2,3,1,1838649,2259069,2671848,3163053,,,,
168,1000,2,4,7,6,8,4539766,1635857,3402897,364265,,,,625
169,1000,2,1,3,6,8,2818854,2845253,3912819,369281,,,,699
170,1000,2,2,4,5,7,3091413,2540267,1791885,2513014,,,,
171,1000,5,1,2,5,8,3228667,2792297,3625886,307041,,,,
172,1000,5,7,6,4,3,3260949,1676043,3465209,1535641,,,,
173,1000,5,6,3,4,1,2983039,1215933,3841516,1909405,,,,
174,1000,5,8,5,7,2,1846772,2828145,1615705,3669027,426,,,
175,1000,5,3,5,2,1,2651761,2258608,2292292,2748364,,,,
176,1000,5,4,6,8,7,4172132,2815983,714771,2246774,,,726,
177,1000,5,1,4,8,6,1672084,4736914,747277,2783839,,,534,
178,1000,5,2,3,7,5,2981166,2916003,1938855,2115550,,,,
179,1000,5,1,5,6,8,4121609,2655705,2796422,375062,,,,
180,1000,5,7,4,3,2,2091787,2551287,2414048,2885906,,,,
181,1000,10,5,8,2,1,3074525,879371,4651971,1363538,,839,,
182,1000,10,6,7,4,3,2765360,1791181,1181865,4216711,,,,
183,1000,10,5,6,4,1,1568803,3366627,1606790,3408015,,,,
184,1000,10,2,3,8,7,4068698,4111738,508390,1282273,,,,
185,1000,10,1,4,2,6,2937601,2663889,2049876,2300127,,,,
186,1000,10,3,7,5,8,3040143,2311105,3987517,627699,,,,668
187,1000,10,1,2,3,4,2863776,1576487,4517943,1009589,,,,
188,1000,10,8,7,6,5,1405089,2854960,3158079,2545372,600,,,
189,1000,10,8,7,4,1,1008110,1933085,1388313,5632339,518,,,
190,1000,10,6,5,3,2,2332919,2316025,3022374,2292838,,,,
191,1000,20,8,2,5,1,1264505,3322596,2607019,2780394,728,,,
192,1000,20,3,6,4,7,1801971,4135911,2123937,1902627,,,,
193,1000,20,1,6,7,8,3982423,2258689,2700905,1027338,,,,899
194,1000,20,2,3,4,5,2936665,2827434,1266034,2941339,,,,
195,1000,20,1,2,6,4,5490765,1370623,1443585,1668361,,,,
196,1000,20,7,8,5,3,3654323,2116862,2563660,1638867,,975,,
197,1000,20,6,8,5,1,2512089,1952078,3750624,1755679,,985,,
198,1000,20,4,7,3,2,4052443,1585408,1737664,2592194,,,,
199,1000,20,5,7,2,1,3120151,2152415,1496869,3203317,,,,
200,1000,20,3,4,8,6,1073284,5927813,1185646,1782120,,,905,
201,2000,1,1,4,2,7,4116620,6258659,5067121,4392307,,1960,,
202,2000,1,3,6,5,8,3701284,3766326,9213154,3227517,,973,1297,508
203,2000,1,1,4,5,6,2492851,9155628,2303868,5886420,,1961,,1155
204,2000,1,8,7,3,2,1479429,4507735,4315730,9601944,442,,,
205,2000,1,4,2,3,1,6668902,5494379,6155179,1549298,1742,,,
206,2000,1,8,6,7,5,2889216,5459231,6037465,5510871,452,969,,1304
207,2000,1,8,3,6,1,780131,5843725,11976222,1302605,500,,990,
208,2000,1,2,5,4,7,7001100,2493789,6622297,3754913,,1904,1191,
209,2000,1,1,5,2,6,7748837,2122516,7956414,2027673,,874,,832
210,2000,1,3,7,4,8,4504404,5131471,8945147,1304365,,,977,458
211,2000,2,1,4,2,8,6023957,3297901,8521785,2020421,,,,534
212,2000,2,7,5,6,3,8248508,3735193,7593295,325416,,,1428,
213,2000,2,4,7,3,1,7846885,1778026,5279613,4940933,,,,
214,2000,2,6,8,5,2,7339067,333461,7192471,5048480,,1251,,
215,2000,2,4,6,2,1,6136838,4344670,4316469,5057972,,,,
216,2000,2,3,5,8,7,2697147,8205920,1907785,7105650,,,542,
217,2000,2,1,2,8,6,3223059,9225411,1896073,5556953,,,540,1395
218,2000,2,3,4,7,5,5806475,7585862,4427554,2045436,,,,
219,2000,2,1,4,8,6,2551201,11490105,894595,4929867,,,554,1587
220,2000,2,5,7,3,2,2331836,3275373,6251210,8044183,,,,
221,2000,5,7,6,4,1,3529254,5564686,2163297,8630732,,,,
222,2000,5,8,5,3,2,926826,5068824,4620117,9318370,993,,,
223,2000,5,5,2,4,1,2685269,7049719,2733075,7417372,,,,
224,2000,5,3,7,6,8,4841659,6180908,8182423,712997,,,,779
225,2000,5,1,5,6,8,9520440,2996697,6897168,484085,,,,1329
226,2000,5,2,3,4,7,7612990,2285150,7851911,2149902,,,,
227,2000,5,1,3,2,6,8991090,1580229,7175548,2151222,,,,
228,2000,5,8,5,7,4,841268,4708630,5390747,8965285,1151,,,
229,2000,5,6,8,2,1,4492542,692621,8166558,6545700,,,,
230,2000,5,5,7,4,3,4521161,2503438,10838567,2044810,,,,
231,2000,10,4,2,3,1,1804049,1641320,1618079,14899793,,,,
232,2000,10,5,7,6,8,4535204,1947745,11374353,2078189,,,,880
233,2000,10,1,3,4,8,14768617,2026311,2235013,913674,,,,939
234,2000,10,2,5,6,7,7268263,3356050,6636280,2662467,,,,
235,2000,10,1,3,8,5,8374777,4328081,1318507,5915153,,,1210,
236,2000,10,6,7,4,2,4418592,4199363,4090444,7199946,,,,
237,2000,10,8,5,7,1,1101412,6569422,4503008,7727902,994,,,
238,2000,10,6,3,4,2,5174221,4436768,3581361,6721485,,,,
239,2000,10,5,3,4,1,6373835,3922946,3057598,6564464,,,,
240,2000,10,2,7,6,8,7467266,1300276,9749288,1415959,,,,832
241,2000,20,1,2,5,8,6420882,2861145,8073301,2575584,,,,1159
242,2000,20,3,4,6,7,3346833,6392139,8460826,1735017,,,,
243,2000,20,1,7,3,8,16311480,1302175,1590575,776477,,,,
244,2000,20,6,4,5,2,5908076,4299231,4660718,5051237,,,,
245,2000,20,7,8,5,1,4719395,3922221,7267558,4027137,,1094,,
246,2000,20,4,6,3,2,5518565,5325230,3528715,5552850,,,,
247,2000,20,5,4,3,1,1704387,8735734,4503664,4991986,,,,
248,2000,20,2,6,7,8,8489593,3594498,6706328,1143169,,,,1401
249,2000,20,1,4,8,5,4640434,4228079,2409734,8659593,,,1147,
250,2000,20,2,3,7,6,8127070,4308954,1855588,5646337,,,,
